 # NeoMom v0
 # 2026-06-28, T17:25:55
# /home/john/Ant_neomom_to_git/AntennaModeling_neoMoM/input_gui/junk.nml
# &RunTitle
#    title = 'test 4'
# /
# &Frequency_MHz
#    fmin  = 7.0
#    fmax  = 7.0
#    nFreq = 1
# /
# &Ground
#    Ground_Plane = 'real'
#    epsilon = 14.0
#    sigma = 0.005
# /
# &OPTIONS
#    NBASISPERLAMBDA = 40
#    Output_Currents = .FALSE.
# /
# &node_input
#    zHeight = 10.0
#    nNodes = 3
#    units = 'meters'
#  node_list(1) = 'A', 0.0, 0.0, 0.0
#  node_list(2) = 'B', 10.0, 0.0, 0.0
#  node_list(3) = 'C', 20.0, 0.0, 0.0
# /
# &wire_primitive
#    tag   = 'W1',
#    nNodes = 3,
#    nodeTags = 'A' 'B' 'C'
#    radius     = 0.001
# /
# &excitation_input
#    wireTag = 'W1'
#    nodeTag = 'B'
#    voltage = 1.0
#    phase_deg = 0.0
# /
# 
# filename        : /home/john/Ant_neomom_to_git/AntennaModeling_neoMoM/input_gui/junk.csv
# title           : test 4
 # frequency_MHz   :   7.000000    
 # wavelength_m    :   42.82749    
 #
 # input impedance :  (71.35602,-48.30164)
 # SWR             :    2.357587    
 #
 # gain_peak_dBi   :    6.034438    
 # e_theta_max     :   0.0000000E+00  0.0000000E+00
 # e_phi_max       :    20.00000       90.00000    
 # e_total_max     :    20.00000       90.00000    
 #
 # ground_type     : REAL      
 # height above ground :    10.00000    
 #
 # theta_start     :   0.0000000E+00
 # theta_stop      :    90.00000    
 # theta_step      :    5.000000    
 # nTheta          :           19
 # phi_start       :   0.0000000E+00
 # phi_stop        :    360.0000    
 # phi_step        :    5.000000    
 # nPhi            :           73
 #
 # theta_deg, phi_deg, re_Etheta, im_Etheta, re_Ephi, im_Ephi
   5.000       175.0      -14.40      -5.145      -1.266     -0.4531    
   5.000       180.0      -14.45      -5.157      0.1270E-05  0.4539E-06
   5.000       185.0      -14.40      -5.145       1.266      0.4531    
   5.000       190.0      -14.23      -5.107       2.521      0.9064    
   5.000       195.0      -13.94      -5.043       3.754       1.360    
   5.000       200.0      -13.55      -4.952       4.955       1.814    
   5.000       205.0      -13.05      -4.832       6.114       2.268    
   5.000       210.0      -12.44      -4.682       7.220       2.721    
   5.000       215.0      -11.75      -4.500       8.264       3.171    
   5.000       220.0      -10.96      -4.283       9.239       3.617    
   5.000       225.0      -10.08      -4.030       10.13       4.056    
   5.000       230.0      -9.138      -3.739       10.94       4.485    
   5.000       235.0      -8.126      -3.409       11.66       4.900    
   5.000       240.0      -7.056      -3.039       12.28       5.297    
   5.000       245.0      -5.939      -2.628       12.80       5.670    
   5.000       250.0      -4.785      -2.176       13.21       6.016    
   5.000       255.0      -3.603      -1.685       13.51       6.328    
   5.000       260.0      -2.405      -1.157       13.71       6.603    
   5.000       265.0      -1.201     -0.5942       13.79       6.833    
   5.000       270.0      0.1634E-06  0.8311E-07   13.77       7.012    
   5.000       275.0       1.187      0.6206       13.64       7.137    
   5.000       280.0       2.352       1.263       13.40       7.204    
   5.000       285.0       3.484       1.920       13.06       7.209    
   5.000       290.0       4.576       2.586       12.63       7.147    
   5.000       295.0       5.621       3.253       12.11       7.018    
   5.000       300.0       6.611       3.914       11.51       6.819    
   5.000       305.0       7.540       4.560       10.82       6.551    
   5.000       310.0       8.403       5.184       10.06       6.215    
   5.000       315.0       9.196       5.778       9.240       5.812    
   5.000       320.0       9.913       6.334       8.358       5.346    
   5.000       325.0       10.55       6.844       7.424       4.820    
   5.000       330.0       11.11       7.301       6.446       4.240    
   5.000       335.0       11.59       7.700       5.429       3.612    
   5.000       340.0       11.98       8.034       4.381       2.941    
   5.000       345.0       12.29       8.299       3.307       2.237    
   5.000       350.0       12.50       8.491       2.215       1.506    
   5.000       355.0       12.64       8.607       1.111      0.7574    
   5.000       360.0       12.68       8.646     -0.2227E-05 -0.1521E-05
   10.00       0.000       11.32       9.945       0.000       0.000    
   10.00       5.000       11.28       9.896      -1.005     -0.8859    
   10.00       10.00       11.18       9.752      -2.009      -1.759    
   10.00       15.00       11.02       9.514      -3.007      -2.609    
   10.00       20.00       10.78       9.187      -3.998      -3.422    
   10.00       25.00       10.48       8.775      -4.978      -4.187    
   10.00       30.00       10.10       8.285      -5.942      -4.895    
   10.00       35.00       9.654       7.726      -6.887      -5.537    
   10.00       40.00       9.130       7.106      -7.805      -6.103    
   10.00       45.00       8.530       6.436      -8.691      -6.588    
   10.00       50.00       7.853       5.725      -9.536      -6.985    
   10.00       55.00       7.100       4.987      -10.33      -7.292    
   10.00       60.00       6.273       4.233      -11.07      -7.507    
   10.00       65.00       5.374       3.474      -11.75      -7.629    
   10.00       70.00       4.408       2.723      -12.34      -7.662    
   10.00       75.00       3.380       1.990      -12.86      -7.608    
   10.00       80.00       2.296       1.286      -13.27      -7.472    
   10.00       85.00       1.167      0.6198      -13.59      -7.261    
   10.00       90.00     -0.5919E-06 -0.2978E-06  -13.80      -6.985    
   10.00       95.00      -1.193     -0.5675      -13.90      -6.651    
   10.00       100.0      -2.401      -1.078      -13.88      -6.269    
   10.00       105.0      -3.612      -1.528      -13.74      -5.851    
   10.00       110.0      -4.813      -1.917      -13.48      -5.406    
   10.00       115.0      -5.992      -2.245      -13.10      -4.944    
   10.00       120.0      -7.137      -2.515      -12.61      -4.474    
   10.00       125.0      -8.236      -2.730      -12.00      -4.006    
   10.00       130.0      -9.278      -2.895      -11.28      -3.546    
   10.00       135.0      -10.25      -3.015      -10.46      -3.101    
   10.00       140.0      -11.15      -3.098      -9.540      -2.674    
   10.00       145.0      -11.96      -3.149      -8.540      -2.270    
   10.00       150.0      -12.67      -3.177      -7.464      -1.889    
   10.00       155.0      -13.29      -3.187      -6.322      -1.531    
   10.00       160.0      -13.80      -3.186      -5.125      -1.195    
   10.00       165.0      -14.21      -3.179      -3.883     -0.8782    
   10.00       170.0      -14.50      -3.171      -2.607     -0.5765    
   10.00       175.0      -14.67      -3.165      -1.309     -0.2855    
   10.00       180.0      -14.73      -3.162      0.1313E-05  0.2851E-06
   10.00       185.0      -14.67      -3.165       1.309      0.2855    
   10.00       190.0      -14.50      -3.171       2.607      0.5765    
   10.00       195.0      -14.21      -3.179       3.883      0.8782    
   10.00       200.0      -13.80      -3.186       5.125       1.195    
   10.00       205.0      -13.29      -3.187       6.322       1.531    
   10.00       210.0      -12.67      -3.177       7.464       1.889    
   10.00       215.0      -11.96      -3.149       8.540       2.270    
   10.00       220.0      -11.15      -3.098       9.540       2.674    
   10.00       225.0      -10.25      -3.015       10.46       3.101    
   10.00       230.0      -9.278      -2.895       11.28       3.546    
   10.00       235.0      -8.236      -2.730       12.00       4.006    
   10.00       240.0      -7.137      -2.515       12.61       4.474    
   10.00       245.0      -5.992      -2.245       13.10       4.944    
   10.00       250.0      -4.813      -1.917       13.48       5.406    
   10.00       255.0      -3.612      -1.528       13.74       5.851    
   10.00       260.0      -2.401      -1.078       13.88       6.269    
   10.00       265.0      -1.193     -0.5675       13.90       6.651    
   10.00       270.0      0.1615E-06  0.8125E-07   13.80       6.985    
   10.00       275.0       1.167      0.6198       13.59       7.261    
   10.00       280.0       2.296       1.286       13.27       7.471    
   10.00       285.0       3.380       1.990       12.86       7.607    
   10.00       290.0       4.408       2.723       12.34       7.662    
   10.00       295.0       5.374       3.474       11.75       7.629    
   10.00       300.0       6.273       4.233       11.07       7.507    
   10.00       305.0       7.100       4.987       10.33       7.292    
   10.00       310.0       7.853       5.725       9.536       6.985    
   10.00       315.0       8.530       6.436       8.691       6.588    
   10.00       320.0       9.130       7.106       7.805       6.103    
   10.00       325.0       9.654       7.726       6.887       5.537    
   10.00       330.0       10.10       8.285       5.942       4.895    
   10.00       335.0       10.48       8.775       4.978       4.187    
   10.00       340.0       10.78       9.187       3.998       3.422    
   10.00       345.0       11.02       9.514       3.007       2.609    
   10.00       350.0       11.18       9.752       2.009       1.759    
   10.00       355.0       11.28       9.896       1.005      0.8859    
   10.00       360.0       11.32       9.945     -0.2015E-05 -0.1779E-05
   15.00       0.000       9.757       10.85       0.000       0.000    
   15.00       5.000       9.737       10.80     -0.8865     -0.9942    
   15.00       10.00       9.675       10.64      -1.775      -1.974    
   15.00       15.00       9.569       10.37      -2.669      -2.924    
   15.00       20.00       9.416       10.00      -3.567      -3.832    
   15.00       25.00       9.211       9.540      -4.471      -4.682    
   15.00       30.00       8.949       8.989      -5.380      -5.464    
   15.00       35.00       8.624       8.359      -6.289      -6.163    
   15.00       40.00       8.231       7.662      -7.194      -6.771    
   15.00       45.00       7.764       6.909      -8.089      -7.279    
   15.00       50.00       7.218       6.114      -8.964      -7.678    
   15.00       55.00       6.589       5.290      -9.810      -7.965    
   15.00       60.00       5.877       4.454      -10.61      -8.136    
   15.00       65.00       5.081       3.621      -11.36      -8.193    
   15.00       70.00       4.204       2.805      -12.05      -8.137    
   15.00       75.00       3.249       2.023      -12.65      -7.974    
   15.00       80.00       2.224       1.287      -13.16      -7.712    
   15.00       85.00       1.137      0.6089      -13.57      -7.362    
   15.00       90.00     -0.5801E-06 -0.2864E-06  -13.86      -6.937    
   15.00       95.00      -1.175     -0.5324      -14.02      -6.449    
   15.00       100.0      -2.373     -0.9830      -14.06      -5.915    
   15.00       105.0      -3.581      -1.349      -13.96      -5.350    
   15.00       110.0      -4.783      -1.632      -13.73      -4.770    
   15.00       115.0      -5.964      -1.833      -13.37      -4.189    
   15.00       120.0      -7.110      -1.958      -12.87      -3.623    
   15.00       125.0      -8.206      -2.016      -12.25      -3.082    
   15.00       130.0      -9.242      -2.015      -11.52      -2.577    
   15.00       135.0      -10.21      -1.965      -10.67      -2.116    
   15.00       140.0      -11.09      -1.879      -9.732      -1.704    
   15.00       145.0      -11.88      -1.768      -8.702      -1.344    
   15.00       150.0      -12.58      -1.644      -7.597      -1.035    
   15.00       155.0      -13.17      -1.517      -6.428     -0.7762    
   15.00       160.0      -13.67      -1.399      -5.205     -0.5617    
   15.00       165.0      -14.05      -1.297      -3.940     -0.3856    
   15.00       170.0      -14.33      -1.219      -2.644     -0.2397    
   15.00       175.0      -14.49      -1.170      -1.327     -0.1145    
   15.00       180.0      -14.55      -1.154      0.1331E-05  0.1129E-06
   15.00       185.0      -14.49      -1.170       1.327      0.1145    
   15.00       190.0      -14.33      -1.219       2.644      0.2397    
   15.00       195.0      -14.05      -1.297       3.940      0.3856    
   15.00       200.0      -13.67      -1.399       5.205      0.5617    
   15.00       205.0      -13.17      -1.517       6.428      0.7762    
   15.00       210.0      -12.58      -1.644       7.597       1.035    
   15.00       215.0      -11.88      -1.768       8.702       1.344    
   15.00       220.0      -11.09      -1.879       9.732       1.704    
   15.00       225.0      -10.21      -1.965       10.67       2.116    
   15.00       230.0      -9.242      -2.015       11.52       2.577    
   15.00       235.0      -8.206      -2.016       12.25       3.082    
   15.00       240.0      -7.110      -1.958       12.87       3.623    
   15.00       245.0      -5.964      -1.833       13.37       4.189    
   15.00       250.0      -4.783      -1.632       13.73       4.770    
   15.00       255.0      -3.581      -1.349       13.96       5.350    
   15.00       260.0      -2.373     -0.9830       14.06       5.915    
   15.00       265.0      -1.175     -0.5324       14.02       6.449    
   15.00       270.0      0.1583E-06  0.7813E-07   13.86       6.937    
   15.00       275.0       1.137      0.6089       13.57       7.362    
   15.00       280.0       2.224       1.287       13.16       7.712    
   15.00       285.0       3.249       2.023       12.65       7.974    
   15.00       290.0       4.204       2.805       12.05       8.137    
   15.00       295.0       5.081       3.621       11.36       8.193    
   15.00       300.0       5.877       4.454       10.61       8.136    
   15.00       305.0       6.589       5.290       9.810       7.965    
   15.00       310.0       7.218       6.114       8.964       7.678    
   15.00       315.0       7.764       6.909       8.089       7.279    
   15.00       320.0       8.231       7.662       7.194       6.771    
   15.00       325.0       8.624       8.359       6.289       6.163    
   15.00       330.0       8.949       8.989       5.380       5.464    
   15.00       335.0       9.211       9.540       4.471       4.682    
   15.00       340.0       9.416       10.00       3.567       3.832    
   15.00       345.0       9.569       10.37       2.669       2.924    
   15.00       350.0       9.675       10.64       1.775       1.974    
   15.00       355.0       9.737       10.80      0.8865      0.9942    
   15.00       360.0       9.757       10.85     -0.1775E-05 -0.1997E-05
   20.00       0.000       8.114       11.34       0.000       0.000    
   20.00       5.000       8.106       11.28     -0.7581      -1.080    
   20.00       10.00       8.081       11.12      -1.524      -2.144    
   20.00       15.00       8.037       10.84      -2.303      -3.177    
   20.00       20.00       7.967       10.45      -3.103      -4.163    
   20.00       25.00       7.863       9.964      -3.925      -5.087    
   20.00       30.00       7.719       9.384      -4.773      -5.934    
   20.00       35.00       7.522       8.718      -5.645      -6.689    
   20.00       40.00       7.265       7.979      -6.538      -7.339    
   20.00       45.00       6.935       7.178      -7.443      -7.874    
   20.00       50.00       6.526       6.332      -8.353      -8.283    
   20.00       55.00       6.028       5.455      -9.253      -8.559    
   20.00       60.00       5.438       4.567      -10.13      -8.698    
   20.00       65.00       4.751       3.685      -10.97      -8.699    
   20.00       70.00       3.968       2.829      -11.74      -8.565    
   20.00       75.00       3.093       2.016      -12.44      -8.302    
   20.00       80.00       2.133       1.264      -13.05      -7.922    
   20.00       85.00       1.098      0.5874      -13.54      -7.437    
   20.00       90.00     -0.5631E-06 -0.2703E-06  -13.91      -6.865    
   20.00       95.00      -1.145     -0.4893      -14.14      -6.226    
   20.00       100.0      -2.320     -0.8745      -14.22      -5.539    
   20.00       105.0      -3.507      -1.154      -14.16      -4.828    
   20.00       110.0      -4.689      -1.328      -13.94      -4.113    
   20.00       115.0      -5.846      -1.404      -13.57      -3.415    
   20.00       120.0      -6.964      -1.389      -13.06      -2.753    
   20.00       125.0      -8.027      -1.295      -12.42      -2.143    
   20.00       130.0      -9.022      -1.136      -11.65      -1.596    
   20.00       135.0      -9.938     -0.9269      -10.78      -1.124    
   20.00       140.0      -10.77     -0.6843      -9.802     -0.7300    
   20.00       145.0      -11.51     -0.4242      -8.743     -0.4176    
   20.00       150.0      -12.15     -0.1624      -7.613     -0.1846    
   20.00       155.0      -12.69      0.8655E-01  -6.425     -0.2611E-01
   20.00       160.0      -13.14      0.3094      -5.192      0.6576E-01
   20.00       165.0      -13.48      0.4949      -3.923      0.1013    
   20.00       170.0      -13.73      0.6340      -2.629      0.9275E-01
   20.00       175.0      -13.88      0.7201      -1.318      0.5405E-01
   20.00       180.0      -13.92      0.7493      0.1322E-05 -0.5672E-07
   20.00       185.0      -13.88      0.7201       1.318     -0.5405E-01
   20.00       190.0      -13.73      0.6340       2.629     -0.9275E-01
   20.00       195.0      -13.48      0.4949       3.923     -0.1013    
   20.00       200.0      -13.14      0.3094       5.192     -0.6576E-01
   20.00       205.0      -12.69      0.8655E-01   6.425      0.2611E-01
   20.00       210.0      -12.15     -0.1624       7.613      0.1846    
   20.00       215.0      -11.51     -0.4242       8.743      0.4176    
   20.00       220.0      -10.77     -0.6843       9.802      0.7300    
   20.00       225.0      -9.938     -0.9269       10.78       1.124    
   20.00       230.0      -9.022      -1.136       11.65       1.596    
   20.00       235.0      -8.027      -1.295       12.42       2.143    
   20.00       240.0      -6.964      -1.389       13.06       2.753    
   20.00       245.0      -5.846      -1.404       13.57       3.415    
   20.00       250.0      -4.689      -1.328       13.94       4.113    
   20.00       255.0      -3.507      -1.154       14.16       4.828    
   20.00       260.0      -2.320     -0.8746       14.22       5.539    
   20.00       265.0      -1.145     -0.4893       14.14       6.226    
   20.00       270.0      0.1536E-06  0.7375E-07   13.91       6.865    
   20.00       275.0       1.098      0.5874       13.54       7.437    
   20.00       280.0       2.133       1.264       13.05       7.922    
   20.00       285.0       3.093       2.016       12.44       8.302    
   20.00       290.0       3.968       2.829       11.74       8.565    
   20.00       295.0       4.751       3.685       10.97       8.699    
   20.00       300.0       5.438       4.567       10.13       8.698    
   20.00       305.0       6.028       5.455       9.253       8.559    
   20.00       310.0       6.526       6.332       8.353       8.283    
   20.00       315.0       6.935       7.178       7.443       7.874    
   20.00       320.0       7.265       7.979       6.538       7.339    
   20.00       325.0       7.522       8.718       5.645       6.689    
   20.00       330.0       7.719       9.384       4.773       5.934    
   20.00       335.0       7.863       9.964       3.925       5.087    
   20.00       340.0       7.967       10.45       3.103       4.163    
   20.00       345.0       8.037       10.84       2.303       3.177    
   20.00       350.0       8.081       11.12       1.524       2.144    
   20.00       355.0       8.106       11.28      0.7581       1.080    
   20.00       360.0       8.114       11.34     -0.1516E-05 -0.2169E-05
   25.00       0.000       6.491       11.40       0.000       0.000    
   25.00       5.000       6.495       11.35     -0.6246      -1.142    
   25.00       10.00       6.505       11.18      -1.262      -2.268    
   25.00       15.00       6.518       10.91      -1.923      -3.362    
   25.00       20.00       6.525       10.53      -2.618      -4.409    
   25.00       25.00       6.518       10.04      -3.354      -5.392    
   25.00       30.00       6.483       9.462      -4.138      -6.295    
   25.00       35.00       6.409       8.793      -4.970      -7.101    
   25.00       40.00       6.281       8.046      -5.847      -7.795    
   25.00       45.00       6.086       7.234      -6.764      -8.361    
   25.00       50.00       5.809       6.370      -7.708      -8.786    
   25.00       55.00       5.440       5.473      -8.666      -9.061    
   25.00       60.00       4.970       4.563      -9.618      -9.178    
   25.00       65.00       4.392       3.661      -10.54      -9.135    
   25.00       70.00       3.707       2.788      -11.42      -8.934    
   25.00       75.00       2.916       1.966      -12.22      -8.582    
   25.00       80.00       2.026       1.215      -12.92      -8.090    
   25.00       85.00       1.049      0.5550      -13.50      -7.478    
   25.00       90.00     -0.5405E-06 -0.2496E-06  -13.94      -6.766    
   25.00       95.00      -1.103     -0.4386      -14.23      -5.978    
   25.00       100.0      -2.239     -0.7543      -14.35      -5.144    
   25.00       105.0      -3.387     -0.9454      -14.30      -4.290    
   25.00       110.0      -4.526      -1.015      -14.08      -3.444    
   25.00       115.0      -5.635     -0.9714      -13.70      -2.634    
   25.00       120.0      -6.696     -0.8263      -13.16      -1.882    
   25.00       125.0      -7.694     -0.5953      -12.48      -1.207    
   25.00       130.0      -8.616     -0.2961      -11.67     -0.6261    
   25.00       135.0      -9.453      0.5169E-01  -10.75     -0.1480    
   25.00       140.0      -10.20      0.4281      -9.742      0.2214    
   25.00       145.0      -10.85      0.8135      -8.654      0.4816    
   25.00       150.0      -11.41       1.189      -7.507      0.6366    
   25.00       155.0      -11.87       1.537      -6.313      0.6942    
   25.00       160.0      -12.25       1.844      -5.084      0.6657    
   25.00       165.0      -12.53       2.095      -3.832      0.5651    
   25.00       170.0      -12.73       2.282      -2.563      0.4086    
   25.00       175.0      -12.85       2.397      -1.284      0.2139    
   25.00       180.0      -12.89       2.436      0.1287E-05 -0.2176E-06
   25.00       185.0      -12.85       2.397       1.284     -0.2139    
   25.00       190.0      -12.73       2.282       2.563     -0.4086    
   25.00       195.0      -12.53       2.095       3.832     -0.5651    
   25.00       200.0      -12.25       1.844       5.084     -0.6657    
   25.00       205.0      -11.87       1.537       6.313     -0.6942    
   25.00       210.0      -11.41       1.189       7.507     -0.6366    
   25.00       215.0      -10.85      0.8135       8.654     -0.4816    
   25.00       220.0      -10.20      0.4282       9.742     -0.2214    
   25.00       225.0      -9.453      0.5169E-01   10.75      0.1480    
   25.00       230.0      -8.616     -0.2961       11.67      0.6261    
   25.00       235.0      -7.694     -0.5953       12.48       1.207    
   25.00       240.0      -6.696     -0.8263       13.16       1.882    
   25.00       245.0      -5.635     -0.9714       13.70       2.634    
   25.00       250.0      -4.526      -1.015       14.08       3.444    
   25.00       255.0      -3.387     -0.9454       14.30       4.290    
   25.00       260.0      -2.239     -0.7543       14.35       5.144    
   25.00       265.0      -1.103     -0.4386       14.23       5.978    
   25.00       270.0      0.1474E-06  0.6809E-07   13.94       6.766    
   25.00       275.0       1.049      0.5550       13.50       7.478    
   25.00       280.0       2.026       1.215       12.92       8.090    
   25.00       285.0       2.916       1.966       12.22       8.582    
